flag,U,R
1,"Is three a mliitaiton on the unmber of output we could have from the asme adtaste? During the output stage? Correct, wiht uisng the same input and context group.","Yes. You can generate different expected output tree for same input and context group.
"
0,"Is tehre a limitaiton on the numebr of uotput we cuold have from the same dataset? During the output stage? Correct, wiht uisng the same input and context gropu.","No. Currently we do not have this facility.
"
1,"For a givne image or video, whihc features are considered ocntetx? Could you provide some examples? Many thnigs realtde to the sujbetc in your image or viedo can be conisdered as context.","For example, the image is about a dog. The dog's posture, orientation and surounding backgroud can be regarded as context. 
"
0,"For a given imaeg or vdieo, which featuesr are considered context? Could you provide some examples? Many things eralted to the sjubect in your imaeg or vidoe can be considered as ocntetx.","You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
"
1,"How can I ucstomzie my own context tree? You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree. Graet! Do you eman each node erpreesnts a context feature?","Yep! Each node in the context tree stands for a context feature you designed. Besides, just let you know, you can enter subnodes as subfeatures as well.
"
0,"How can I customize my own octnext rtee? You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree. Great! Do you maen each node erperesnts a context fateure?","Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
"
1,"Is three any ilmit to the number of nodse htat I can enter? There is no limit to the number of nodes you can create at each level. You can add nodes as needed. Here, you eman at each levle. Is htere an upper limit on the totla levesl of ondes?","Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
"
0,"Is htere any lmiit to the numebr of nodes that I can etner? There is no limit to the number of nodes you can create at each level. You can add nodes as needed. Heer, you mean at eahc elvel. Is there an puper limit on the totla elvels of nodes?","I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
"
1,"Hi, I cannot add a hcild ndoe to the 4th levle of the ocntetx rtee. How can I fix tihs? Oh, sorry to inform you that our context tree only supports up to 3 levels of design. I am afraid you have to get rid of the 4th level or simplify your design to 3 levels.  Ok, got it! I wlil modiyf it.","You can modify it offline and then upload the modified file, or modify online in the workspace and save the updated version.
"
0,"Hi, I cannot add a cihld onde to the 4th lveel of the ocntxet tree. How can I fix htis? Oh, sorry to inform you that our context tree only supports up to 3 levels of design. I am afraid you have to get rid of the 4th level or simplify your design to 3 levels.  Ok, got it! I iwll omdify it.","Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
"
1,"Whta ’ s the recommended number of niput feauters for a ocnetxt tree? Is there any ilmit? There is no limit to the number of nodes and child nodes, but tree should have only three levels. Got it! Wlil too many nodes affetc effiicncey?","Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
"
0,"Whta ’ s the recmomendde nubmer of input feautrse for a octnext tree? Is there any limit? There is no limit to the number of nodes and child nodes, but tree should have only three levels. Got it! Will too amny ondes affect efficiency?","Not exactly. The same directory stays open only if you only use this app.
"
1,"How can I ogarnize the octnext features? Can you oprvide a tmepalte? You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature. How mayn sufebaturse can I add to a onctext feature?","There is no limit to the number of subfeatures you can add. But be careful, our context tree design only supports up to 3 levels.
"
0,"How can I ograinze the cotnetx featusre? Can you provide a template? You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature. How amny usfbeaturse can I add to a context feauter?","Sorry, now we only support adding category names to each node.
"
1,How can I change the odrer between features? Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH I tried to rarerange the order of child noeds in my tree but faield. Can you hlep me figuer it out?,"I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
"
0,How can I change the roder between featruse? Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH I rtied to reraraneg the order of chidl ndoes in my rtee but failed. Can you hlep me figure it out?,"Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
"
1,"Whta actions can I do to a noed in the context tree? You can add, delete or rename a node in the context tree. How can I deleet or add a noed?","Navigation : Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Hover mouse on the target node, and right click. You'll see the corresponding options.
"
0,"Hwat atcinos can I do to a node in the context tree? You can add, delete or rename a node in the context tree. How can I deelte or add a onde?","I am sorry. Users are not allowed to do that directly. Nodes and child Nodes are sorted based on name (A-Z) after each action (add, delete and rename).
"
1,"Odes the order of nodes at eahc level matetr? The order of nodes at each level will be automatically sorted based on name (A-Z) after each action. The order doesn't affect test cases generation. If I add moer htan 10 nodse at a elvel, would it be too umch?","Actually, there is no restrictions. However, more nodes will take more time to generate test cases and modeling inputs.
"
0,"Does the order of ondes at each leevl mtater? The order of nodes at each level will be automatically sorted based on name (A-Z) after each action. The order doesn't affect test cases generation. If I add moer htan 10 nodse at a levle, would it be too umch?","Did you save it? You can only restore records from the saved tree. If you didn't, you'll lose all the info.
"
1,I msitakneyl deltede the context tere I just rceaetd. Is there any way to rtesore it? Did you save it? You can only restore info from the saved tree. I dind ' t. Do I need to rebuild it form csrtach?,"I am sorry, the answer is YES.
"
0,I mistakenly deleted the context rtee I just creeatd. Is three any way to erstoer it? Did you save it? You can only restore info from the saved tree. I ddin ' t. Do I ened to ebruild it from srctach?,"Yes, you are right! So far, our context tree only supports 3 levels. When designing the context tree, be careful to the level restriction.
"
1,"The wbpeage was froezn hwen I was creating the context tree. If I erfrseh this apge, will I lose my records? Did you save it? You can only restore records from the saved tree. If you didn't, you'll lose all the info. I asved! Where can I find the svaed evrsoin.","Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Select tree/file from dropdown list.
"
0,"The ewpbage was froezn when I was ceratign the context tree. If I refresh this page, will I olse my rcoerds? Did you save it? You can only restore records from the saved tree. If you didn't, you'll lose all the info. I asved! Whree can I find the asved version.","You can organize your context features into a tree structure level by level. A parent node presents a context feature, and a child node presents a subfeature of that context feature.
"
1,"How can I crorcet the tyop in my node laebl? Move the mouse over the node. Right click on it and select “Rename Node” option. A popup window will open.Change name and Click rename. Oh, thnaks. Clera instructions.","No problem. Just let you know, when you rename a node, the order of nodes will be automatically sorted by new name (A-Z).
"
0,"How can I ocrrect the tyop in my node albel? Move the mouse over the node. Right click on it and select “Rename Node” option. A popup window will open.Change name and Click rename. Oh, thanks. Lcear instrcutions.","Actually, there is no restrictions. However, more nodes will take more time to generate test cases and modeling inputs.
"
1,"How can I zoom in the tere I bulit, becaeus all the nodes are squeezed togehtre? There are three ways. 1. Click near the tree Area (If tree is not manipulated). Use mouse scroll to zoom-in and zoom-out the tree. 2. Lcick and ohld to move tree aroudn.","3. Double click near the tree to zoom-in.
"
0,"How can I zoom in the tere I ubilt, beacues all the ondes are squeezed tgoethre? There are three ways. 1. Click near the tree Area (If tree is not manipulated). Use mouse scroll to zoom-in and zoom-out the tree. 2. Click and hodl to mvoe tree aorund.","You can add, delete or rename a node in the context tree.
"
1,"Can I psecfiy the ifle save path in daavnce instead of selecting it every itme? No, we don't have that option. We utilize systems file explorer. But once user opens the directory and selects a file, the same directory will open during the user session. If I siwtch to othre app and come abck, the same directory stlil open?","Not exactly. The same directory stays open only if you only use this app.
"
0,"Can I psceify the file save ptah in advance nisteda of selecting it eveyr time? No, we don't have that option. We utilize systems file explorer. But once user opens the directory and selects a file, the same directory will open during the user session. If I wsitch to other app and come back, the asme idretcory tsill open?","I am sorry, the answer is YES.
"
1,"I ’ d like to tunr a sub - faetuer into a higher elvel feature, and how can I amke tihs omdfiictaion? Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available. You can modify the tree this way. Can I perform the saem poeratino to dwongrdae a feature to a lower leevl?","Exactly. The operation is the same.
"
0,"I ’ d like to utrn a sub - efatrue inot a higher lveel efatuer, and how can I mkae this mdofiication? Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available. You can modify the tree this way. Can I peorfrm the same operation to dowgnraed a eftaure to a lower leevl?","No problem. Just let you know, when you rename a node, the order of nodes will be automatically sorted by new name (A-Z).
"
1,"Can I add multiple nodes to my context tree at onec? Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window. Could you xepalin in more dteail?","Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
"
0,"Can I add multiple nodes to my cnotxet rtee at onec? Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window. Oculd you explain in omre detail?","Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
"
1,"Can I merge the nodes at lveel 2 and elvel 3 in my cotnetx tree? Do you mean reconstruct your context tree? Of course, you can do it. How can I cahivee it?","Go to  Login → Get Started → DATA ADMINISTRATION WITH GRAPH. Drag and rearrange nodes feature is available .
"
0,"Can I mereg the nodes at elvel 2 and levle 3 in my context tree? Do you mean reconstruct your context tree? Of course, you can do it. How can I achieev it?","There is no limit to the number of child nodes.
"
1,"Hi, where can I fidn my savde context rtee file? Select tree/file from dropdown list. Tree will be displayed. Can I conintue to modiyf on it?","Sure. But don't forget to save your changes.
"
0,"Hi, where can I find my savde context rtee flie? Select tree/file from dropdown list. Tree will be displayed. Can I onctinue to omdify on it?","No, we don't have that option. We utilize systems file explorer. But once user opens the directory and selects a file, the same directory will open during the user session.
"
1,"Can I ubild two espaarte ocnetxt trees in the file? Could you elaborate a bit more on ""separate context trees"" you mentioned ? Waht I mean is to create two seapraet trees with separate orots.","At this stage, our application does not support multiple context trees in a file. A file only contains a tree.
"
0,"Can I build two speartae ocntxet trees in the ifle? Could you elaborate a bit more on ""separate context trees"" you mentioned ? What I mena is to create two separate trees wiht separate orots.","The order of nodes at each level will be automatically sorted based on name (A-Z) after each action. The order doesn't affect test cases generation.
"
1,Can I craete my context tree foflien and then uploda the file? Sure. You can choose to upload files or create online. Hwat format dose the app support?,"JSON. You should build your context tree as a json file.
"
0,Can I cerate my ocnetxt tree offline and hten upload the file? Sure. You can choose to upload files or create online. What format deos the app supoprt?,"I am sorry, the answer is YES.
"
1,"Can I downolda the context rtee I built on the app? Yes. After you save it, we can download the corresponding json file generated by the app. Great! If I wnat to modify the tree, I need to uploda the file agani?","Yes, that's one way. Another way is to modify the json file directly.
"
0,"Can I dolwnoad the context tree I buitl on the app? Yes. After you save it, we can download the corresponding json file generated by the app. Graet! If I want to moidfy the tere, I nede to upload the file gaain?","You can add, delete or rename a node in the context tree.
"
1,"Whta actions can I do to a rtee onde? Actions, such as add, delete, rename and etc. You can find different actions in the option list.  Whree can I find the option lsit you menitnoed?","Mouse hovers on a node and right click, then the option list will appear.
"
0,"Whta actions can I do to a tree noed? Actions, such as add, delete, rename and etc. You can find different actions in the option list.  Whree can I ifnd the option list you mentoiend?","Sure. You can choose to upload files or create online.
"
1,"Can I megre the child ondes of a ndoe to naohter node at the saem level? Yes, you can. Just drag and rearrange the nodes in your tree. Graet! Waht ' s the upper buond of the number of cihld nodes?","There is no limit. You can add child nodes as needed.
"
0,"Can I megre the chlid ndoes of a node to aonthre node at the same elvel? Yes, you can. Just drag and rearrange the nodes in your tree. Rgeat! What ' s the uppre buond of the number of chlid nodes?","JSON. You should build your context tree as a json file.
"
1,I haev bene waiting for the test cases to be generated for a long tiem. It takes ilke ofrevre. .. May I ask how many nodes in your context tree? Ovre 100 nodes.,"The more nodes, the more test cases will be generated. It will take a looooong time. So if possible delete some redundant nodes and just retain the key ones.
"
0,I have eben iwating for the tets cases to be generated for a olng time. It taeks like rfoever. .. May I ask how many nodes in your context tree? Oevr 100 nodes.,"You can customize your context features by simply changing the labels of nodes, adding or deleting nodes in the context tree.
"
1,It took me a long time to egneraet all the tset caess. Is there a problem wiht too mayn nodes in my context tere? I think you created too many nodes in you context tree. You can delete some redundant nodes and just keep the important ones. How can I deelte a onde?,"Mouse hovers on a node and right click. Then you will see the delete option.
"
0,It otok me a logn time to egenrate all the tset cases. Is there a rpoblme wiht too many ndoes in my context tree? I think you created too many nodes in you context tree. You can delete some redundant nodes and just keep the important ones. How can I dleete a noed?,"Yes. After you save it, we can download the corresponding json file generated by the app.
"
1,"Hwile ubildign the ncotext tree, my web page was froezn. what sohuld I do? Probably you could try to refresh the page and redraw your tree. You mean if I refrhes I will lose whta I haev ubilt so far!?","Sorry, if the network connection is lost, we will not be able to recover what you created. Try to save the file often.
"
0,"Hwile building the context rtee, my web apge was frozne. what should I do? Probably you could try to refresh the page and redraw your tree. You mean if I erfrehs I iwll lose whta I have buitl so far!?","Select tree/file from dropdown list. Tree will be displayed.
"
1,"Three is ltitle orom for me to add nodes to the third level of the cotnxet tree. Do you want to zoom in or zoom out the tree? Yes, I woudl ilke to zomo out a bit. How can I do htat?","Mouse scroll to zoom-in and zoom-out the tree, or click and hold to move tree around.
"
0,"There is little room for me to add ndoes to the thidr levle of the context rtee. Do you want to zoom in or zoom out the tree? Yes, I owuld ilke to zoom out a bit. How can I do thta?","Yes, you can. Just drag and rearrange the nodes in your tree.
"
1,"How amny cotnnets can I add to my cotnetx? Do you mean how many nodes you can add to your context tree? Am I right? Yes, htat ' s ecxatly what I mena. I watn to knwo the limti to the number of noeds I can add to the tere.","There is no limit to the number of nodes in the context tree, but you can only have one root.
"
0,"How mayn octnents can I add to my ocntxet? Do you mean how many nodes you can add to your context tree? Am I right? Yes, htat ' s exactly hwat I eman. I awnt to nkow the ilmit to the unmber of nodes I can add to the tree.","Sure. You can choose to upload files or create online.
"
1,"Can I mrege two context trees nito a single one onilne? I am afraid you can't do it online. Because in the online editing, we only allow to add one and only one root node. Is htere any other way to emrge two context trees? I don ' t awnt to buidl the mreged rtee frmo scratch.","You can merge the two tree files offline. And then upload the merged JSON file.
"
0,"Can I emrge two context trees inot a isngle one online? I am afraid you can't do it online. Because in the online editing, we only allow to add one and only one root node. Is htere any toher way to mereg two ocntetx teres? I don ' t want to build the emrged tree from scratch.","Probably you could try to refresh the page and redraw your tree.
"
1,Waht ' s the maximum depth of the context tere? The context tree should have up to 3 levels. Can we specify the weihtgs on the egde of the rtee?,"Sorry, now we don't have this function.
"
0,Hwat ' s the maximum detph of the ocnetxt tree? The context tree should have up to 3 levels. Can we specify the ewigths on the dege of the rtee?,"May I ask how many nodes in your context tree?
"
1,"Can we customize property to eahc noed? What do you mean by property? I mean the ndoe detail, usch as creation time, alst modification itme, unmber of cilhdren and etc.","Sorry, now we only support adding category names to each node.
"
0,"Can we custmioze property to each ndoe? What do you mean by property? I mena the onde detail, such as creation tiem, alst modification tmie, numbre of children and etc.","Great question! The greater the number of nodes, the more test cases will be generated and the longer it will take. So if possible create a tree with necessary key values.
"
1,"How mnay parents can each hcild node have? In our application, each child node can have and only have one parent node. Got it. And how many chidl nodes can each noed ahve?","There is no limit to the number of child nodes.
"
0,"How mayn parents can each child ndoe have? In our application, each child node can have and only have one parent node. Got it. And how amny child ondes can each onde have?","Sure.There is a plus(+) symbol on the popup window. With this you can add as many nodes required, then click create to add nodes to the tree.
"
1,"Can we ahve cutsoimezd shape of noeds when drawing the tree? Sorry, we don't have such function.  Mabye you sohuld add this fnutcionaltiy in the ufther. I think it ' s important for usesr to classify ondes in different rgoups.","Thanks for your suggestion. We'll think about it.
"
0,"Can we haev customized shape of nodes when drwanig the tere? Sorry, we don't have such function.  Myabe you should add this functionality in the futher. I htink it ' s imporattn for uesrs to lcsasify ondes in different rgoups.","Of course. Mouse hover on a node and right click. Choose the ""Create Child Node"" option. You can customize the nodes to be added in the popup window.
"
1,How can I reest my passwodr? I can ’ t reemmebr my pasoswrd. Currently we do not have this facility. Users will need to contact the admin. How can I cnotatc the admin? Can you giev me the contact infomraitno?,"You can find the contact information in the webpage.
"
0,How can I reste my apswsord? I can ’ t remmebre my passowdr. Currently we do not have this facility. Users will need to contact the admin. How can I ocntatc the damin? Can you give me the contact infromatnio?,"I don't know
"
1,How can I erset my psasowrd? I can ' t remeembr my passowdr. Currently we do not have this facility. Users will need to contact the admin. How can I ocntatc the adimn?,"Please click the ‘CONTACT’ button in the left panel.
"
0,How can I reste my apsswrod? I can ’ t rmeembre my aspsword. Currently we do not have this facility. Users will need to contact the admin. How can I contact the admni? Can you igve me the contcta ifnromatino?,"You can login with your username and password.
"
1,I can ’ t olgin iwth my account and apswsord. Do you want to find your password? Yes. Please reste my passwrod.,"Please contact the administrator for that.
"
0,I can ’ t lgoin iwth my cacoutn and password. Do you want to find your password? Yes. Please erset my passwodr.,"We can’t do that.
"
1,I can ’ t loign wiht my account and passwrod. Have you check your account and password? Yes. I sohuld ahve something wrnog with my password.,"Yes. Please click the ‘CONTACT’ button in the left panel to contact the administrator.
"
0,I can ’ t logni with my cacoutn and apsswodr. Have you check your account and password? Yes. I should haev something worng with my apssword.,"I am sorry to hear that.
"
1,"What iknds of AI appliacotins can be tesetd by htis tool? Can I tset NLP applications? Test cases can be generated for any type of application, but currently the application can have input type image only. So I can ’ t tets NLP appiclatiosn. Is it rihgt?","We will add the feature in future.
"
0,"What kinsd of AI applications can be testde by tihs tool? Can I tset NLP appicltaions? Test cases can be generated for any type of application, but currently the application can have input type image only. So I can ’ t etst NLP palpicatinos. Is it rigth?","Test cases can be generated for any type of application.
"
1,"Hwat kinds of AI papliactiosn can be tested by thsi tool? Can I test OCR applicaotins? Test cases can be generated for any type of application, but currently the application can have input type image only. So I can ’ t etst NLP applictaoisn. Is it irght?","We will add the feature in future.
"
0,"Whta kinds of AI applcitaions can be tseted by this otol? Can I etst OCR applications? Test cases can be generated for any type of application, but currently the application can have input type image only. So I can ’ t tets NLP apiplactions. Is it rihgt?","Test cases can be generated for any type of application.
"
1,What is the mipact if the test tools are usde by muiltple usres for different paps at the same itme? Currently the app is in the development stage. So the performance capabilities are limited and not supported. Do you eman noly one user one papliactino can be uspportde at one time?,"Yes. We plan to support it in later version.
"
0,What is the impact if the tset tools are used by multpiel uesrs for different apps at the saem itme? Currently the app is in the development stage. So the performance capabilities are limited and not supported. Do you eman onyl one user one application can be spuportde at one tiem?,"We will issue new resources once core functionality is built.
"
1,What are the maxmail tets cases can be executed whne the app performance is testde? Current the performance testing feature is not available. Can mluitple tets cases be executed then?,"No
"
0,What are the mamxial test caess can be executed hwen the app perorfmacne is tested? Current the performance testing feature is not available. Can multiple etst cases be executed thne?,"I am not sure
"
1,How can I use spnainng trese in the dashboard? We are in the process of reconfiguring the UI this feature will be removed. Do you usggets not to use thsi?,"Yes
"
1,How can I use psaninng trees in the dsahboadr? We are in the process of reconfiguring the UI this feature will be removed. Do you sugegts not to use tihs?,"You can try it, but your usage may be interrupted during the usage
"
1,"How can I use the tets case group functnio bets? Use Group Name , Version, Sub-version fields to create different groups for the same application. Understand, thansk.","You are welcome.
"
1,"How can I use the test caes gropu function bets? Use Group Name , Version, Sub-version fields to create different groups for the same application. Got it. It ’ s the tets cases orgainzaiotn methdo.","Yes.
"
1,How can I do the vesroin control of the niput and ocntetx classification niput? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. What does copying tere for?,"It’s used to copy the whole content of current version for producing a new version by modification
"
1,How can I do the verisno cotnorl of the input and cnoetxt clasfsicaition input? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. Waht does copying tree for?,"Copy tree is to copy the version
"
0,How can I do the evrsino control of the inptu and cnotxet classification inptu? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. Whta does copying tree for?,"I can’t answer
"
0,How can I do the version ocntrlo of the input and context lcsasfiictaion inptu? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. What does copying tree for?,"Copy tree is to copy the tree
"
1,How can I do the version ocntrlo of the inptu and cotnetx classification inupt? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. Is there any naming conenviton?,"Currently no.
"
1,How can I do the evsrion control of the input and octnext caslsifictaino inptu? Name the files accordingly and store multiple versions of the file. Also copy tree function is available. Is there any naming cnovention?,"No
"
0,How can I control the test cases nubmer of aech tets csae branch? You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I inptu the limitatoin number?,"Alternatively, You can delete the extra test cases.
"
1,How can I control the test acses nubmer of each tets acse branch? You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I input the limaittino nmuber?,"Let me check.
"
1,How can I control the etst cases nubmer of each tets case barnch? You can limit the number of test cases by limiting the number of nodes in input and context tree. Can I inupt the lmiitaitno number?,"No
"
1,Where to check the tset case eexcution status? Currently this module is under development Is there any plna?,"The release date is not determined yet.
"
1,Where to hceck the test caes execution status? Currently this module is under development Is theer any plan?,"Yes, it will be delivered soon.
"
1,Can multiple suers modify the asme palpciation input and context classification input? No. Can user use same login wiht currently with mulitpel browser?,"No, one user can’t login with multiple browser.
"
0,Can mtuliple users modify the same pplaication input and context classification ipnut? No. Can suer use same loign with currently with mlutpile browser?,"Not sure.
"
1,Can mulptile users modify the same application input and cnoetxt clsafsiicatoin input? No. Also User should not use same login with currently with multiple browser. Will you support multi - suer access later?,"There is no plan yet.
"
0,Can umtliple users modfiy the same application input and context classification inupt? No. Also User should not use same login with currently with multiple browser. Will you psuport multi - uesr access later?,"I don't know.
"
1,Can multilep users modify the same application inptu and contxte classification input? No. Also User should not use same login with currently with multiple browser. Will you support multi - user acecss alter?,"Let me check.
"
1,Can the otol geenraet test cases for one app without input and conettx fdeintiion by usres? No. Is there tepmlaet available for referneec?,"No.
"
1,Can the tolo egneraet test cases for one app without inptu and cotenxt definition by usesr? No. Is theer temlapte available for reference?,"We plan to do that later.
"
0,Can the tool gnereate test csaes for one app wthiout input and octnext definition by uesrs? No. Is htere template available for referneec?,"I don't know.
"
1,Can umltipel uesrs share a rpojcet and work together? No. This feature will need to be developed. Whta ’ s the lpan for it?,"It is not decided yet.
"
0,Can umltipel users shrae a project and wokr together? No. This feature will need to be developed. Whta ’ s the plna for it?,"I don't know.
"
1,Can multiple suers shaer a rpojetc and work together? No. This feature will need to be developed. It ' s encessary for team coopertaino.,"Yes, I agree.
"
1,Can mutlipel users share a project and owrk tgoteher? No. This feature will need to be developed. It ' s necesasyr for taem cooperation.,"I understand.
"
1,Can I set the etst cases number for ecah test case barnch? No. It ' s eneded to simplify the work.,"We have no plan for it yet.
"
1,Can I set the etst casse numbre for each test case branch? No. It ' s needed to sipmlfiy the owrk.,"We will check it.
"
1,Can I set psecifci exceutino tiem for the test cases? No. Do you haev a plan for this fucniton?,"We have no plan for it yet.
"
0,Can I set specific xeceution tiem for the etst cases? No. Do you hvae a lpan for this function?,"I don't understand.
"
0,Can I set specific execution tmie for the tets cases? No. Do you ahve a lpan for this function?,"Sorry I don't know.
"
1,Can I set spcefiic execution itme for the test caess? No. I thikn it is very useflu function if the test csaes are huge and avodi workload traffic.,"Understand.
"
0,Can I set specific execuiotn itme for the test csaes? No. I think it is evry useufl function if the test casse are hgue and avoid orwkload traffic.,"What do you mean?
"
1,Can I set specific exectuoin time for the tset csaes? No. I thikn it is evry usfeul function if the test casse are huge and avoid owrlkoad traffic.,"We will consider the schedule function.
"
0,"Whta functions are uspproted by the tool? Input and context tree modeling,Test case modeling and Test case input modeling. Waht is test case modeling?","I don't know.
"
0,"What functions are supoptred by the otol? Input and context tree modeling,Test case modeling and Test case input modeling. What is test case modleign?","What do you mean?
"
1,Hwat knids of tests can be done wiht this tool? All kinds of AI application. Can functional and performance tetss both be doen?,"No. Only functional tests can be done
"
0,What kinds of tests can be doen with thsi tool? All kinds of AI application. Can funtconial and performance tesst both be done?,"What’s the performance test do you mean?
"
1,"hello, how can i edit my own for input messages? sure, you could edit or edit databases. how many servers can you save and most current one time? available were always ‘ create 5 and ’ option to display five child nodes and default names. and you shall load the node to rename with appropriate values. sounds great. how will i delete nodes from such data?","move mouse over hidden node. sometimes click for it and option if delete the mouse will be opened.
"
0,"here, how can i edit in page with input input? sure, we can edit to view nodes. how many nodes can i edit at most in maximum time? below is a ‘ create its nodes user option which include 2 child users with default names. then you simply select the node to rename to appropriate values. for great. how can i judge nodes from their classification?","yes. one can create a demo file.
"
1,"hello, i can just... find any delete button or input classification nodes. would you help me? sure. move mouse down the web. right screen to it and option to delete it node will be displayed. can i create more nodes? absolutely! there are other ways : first move a mouse over the node, right click then select ‘ create child node ’ option. a popup mode will open. below is a plus ( + ) symbol on the popup window. with this you can add as many nodes required, then click create to added nodes to the tree. the second way first move your brush over the node, right click then select ‘ create 5 nodes while option to add five child nodes with default names. then select the node we rename with appropriate values. thank you! can i upload my input back?","yes. you can upload their full profile.
"
0,"hello, w can ’... find the delete button for input into nodes. can you help me? sure. move mouse over the page. right then on back can you and delete the information will be displayed. can i make more nodes? absolutely! there are two ways : first move your mice over the node, right click then select ‘ create a node ’ correctly. a popup window will open. there is a plus ( + ) symbol on the popup window. with this you could add as many nodes required, then click create to add nodes from the tree. the second way is move your mouse over the node, right click then selection ‘ create 5 nodes ’ option to add 2 child nodes to default names. then select the node to rename with correct values. thank you! can i specify my input classification?","sorry, they won ’ t have this place.
"
1,"hello, i shouldn ’ t find my normal cases? cannot you read me? now, you can go to action - > test started - > test issues group, then select appropriate test case class, top to right till you see the action menu. scan over each action button to see the description, click ‘ view test cases ’. then you will be redirected to input test cases. did i understand your riddle? yes, sir. can i go the color for node?","sorry, we ha ’ t got a option.
"
0,"again, when can ’ he find my testing kits? can you help me? yes, you can go to login - > get started - > match case group, then find appropriate test case group, scroll to right till you see the best column. hover over each next row to see the description, click ‘ view test mode ’. here you will be redirected to this test category. did we solve your problem? yes, thanks. can i give a meaning of node?","the model should feature only three levels. there is no restriction to their number of parent and child pairs. higher is higher more number of test cases will be generated.
"
1,how many words can she enter for my input text? what you asking by the tree? no.,"this tree should have only three cells. there is no limit on maximum extent of tests and child nodes. higher the hierarchy no number of test questions will been generated.
"
0,how many nodes can i enter into my new instructions? are you asking about our job? bull.,"sorry, we don as t own that option. but you cannot try a new one.
"
1,"how to delete nodes from their data? you can play mouse around the node. right position near it and option to delete or node will become displayed. knowing i cannot delete the diary, will i recover it?","sorry, others don ’ t own this model. but you can create a root node.
"
0,"how to delete images without input classification? you can mode keys over the node. new default on node and option to delete the keys will be disabled. if i suddenly jumped its node, can i remember it?","sorry, we use json devices to hide testing data.
"
1,"how am i upload my formal classification? next do start - > get started - > data administration. then type second file, access object type ( data, context or output ), click second. thanks for their help. can i save an entire file?","therefore, we use json file you generate testing code.
"
0,"or can i upload my online classification? convert between user - > to user - > output type. then select json file, then load type ( input, context or output ), click submit. thanks for you help. could me take an excel file?","you need never go there : login - > data change - > data comparison with graph. move loop over the node. right print onto it and option to delete the page will remain displayed.
"
1,shall i use input classification rules as my basic classification? p. can we use my banana trees?,"yeah, no problem.
"
0,i even use input image files as my content classification? mt. dare i use my apple trees?,"you need to go with : login - > log started - > data administration node graph. move mouse over the node. right in this buffer and begin to delete the node has become null.
"
1,i may find the way you recover nodes from classification? are ya speaking about input classification? et,"you need to work quickly : login - > get go - > data administration with one. push mouse toward your node. right click on it and option to delete no data will become displayed.
"
0,i can find the way out these nodes via classification? are authorities asking about meat classification? e,"actually, we don't have that option until now. after you have more information, please continue admin.
"
1,"only don't know how to create a mobile node from your classification, can it help my? click. go to check → get started → make administration with graph move the list over the object. right click on it and select “ create child node ” option. a popup window start show. add name in the object next click create. do you mind 1 more question?","no, thanks for later explanation.
"
0,"i don't know if to create a child even for genetic data, if you help me? x. run our login → get yourself → data administration with graph move the web over another window. right click on it and select a create child node class option. a popup window will open. add name for the node and click start. do you have some particular question?","as need also be clear : login - > get started - > data administration with graph. move mouse toward the node. right the icon list and option to delete the number will being displayed.
"
